key,es,en,ca,pt,de,gl,eu
ui.placeName,"Nombre del lugar","Place name","Nom del lloc","Nome do lugar","Name des Ortes","Nome do lugar","Tokiaren izena"
ui.placePlaceholder,"Ej: Twitch, Filmin...","E.g., Twitch, Filmin...","Ex: Twitch, Filmin...","Ex: Twitch, Filmin...","Z.B.: Twitch, Filmin...","Ex: Twitch, Filmin...","Adibidez: Twitch, Filmin..."
ui.ecoType,"Tipo de ecosistema","Ecosystem type","Tipus d'ecosistema","Tipo de ecossistema","Art des Ökosystems","Tipo de ecosistema","Ekosistema mota"
ui.ecoSelect,"Selecciona su tipo...","Select its type...","Selecciona el seu tipus...","Selecione o seu tipo...","Wähle den Typ...","Selecciona o seu tipo...","Hautatu mota..."
ui.ecoSocial,"Red Social (muros, vídeos cortos, creadores...)","Social Network (feeds, short videos, creators...)","Xarxa Social (murs, vídeos curts, creadors...)","Rede Social (murais, vídeos curtos, criadores...)","Soziales Netzwerk (Feeds, Kurzvideos, Creator...)","Rede Social (muros, vídeos curtos, creadors...)","Sare soziala (hormak, bideo laburrak, sortzaileak...)"
ui.ecoStreaming,"Streaming (películas, series, catálogos...)","Streaming (movies, series, catalogs...)","Streaming (pel·lícules, sèries, catàlegs...)","Streaming (filmes, séries, catálogos...)","Streaming (Filme, Serien, Kataloge...)","Streaming (películas, series, catálogos...)","Streaming-a (filmak, serieak, katalogoak...)"
ui.confirmRoute,"Confirmar ruta","Confirm route","Confirmar ruta","Confirmar rota","Route bestätigen","Confirmar ruta","Berretsi bidea"
ui.alertFill,"Por favor, rellena el nombre y el tipo de plataforma para continuar el viaje.","Please fill in the name and platform type to continue the journey.","Si us plau, omple el nom i el tipus de plataforma per continuar el viatge.","Por favor, preencha o nome e o tipo de plataforma para continuar a viagem.","Bitte fülle den Namen und den Plattformtyp aus, um die Reise fortzusetzen.","Por favor, enche o nome e o tipo de plataforma para continuar a viaxe.","Mesedez, bete plataformaren izena eta mota bidaiarekin jarraitzeko."
ui.exploration,"Exploración","Exploration","Exploració","Exploração","Erkundung","Exploración","Esplorazioa"
ui.endExpedition,"Fin de la expedición","End of the expedition","Fi de l'expedició","Fim da expedição","Ende der Expedition","Fin da expedición","Espedizioaren amaiera"
ui.profile,"Perfil:","Profile:","Perfil:","Perfil:","Profil:","Perfil:","Profila:"
ui.exploreOther,"Explorar otro territorio","Explore another territory","Explorar un altre territori","Explorar outro território","Ein anderes Gebiet erkunden","Explorar outro territorio","Esploratu beste lurralde bat"
ui.tipsBtn,"Consejos","Tips","Consells","Dicas","Tipps","Consellos","Aholkuak"
ui.downloadBtn,"Descarga y comparte tu brújula","Download and share your compass","Descarrega i comparteix la teva brúixola","Descarregue e partilhe a sua bússola","Lade deinen Kompass herunter und teile ihn","Descarga e comparte o teu compás","Deskargatu eta partekatu zure orratza"
ui.notebook,"Cuaderno de viaje","Travel Log","Quadern de viatge","Diário de bordo","Reisetagebuch","Caderno de viaxe","Bidaia-koadernoa"
ui.understood,"Entendido, ¡a explorar!","Understood, let's explore!","Entès, a explorar!","Entendido, vamos explorar!","Verstanden, lass uns erkunden!","Entendido, a explorar!","Ados, esploratzera!"
ui.footer1,"Un desarrollo de Xavier Ribes para el proyecto ALCOM","Developed by Xavier Ribes for the ALCOM project","Un desenvolupament de Xavier Ribes per al projecte ALCOM","Um desenvolvimento de Xavier Ribes para o projeto ALCOM","Eine Entwicklung von Xavier Ribes für das ALCOM-Projekt","Un desenvolvemento de Xavier Ribes para o proxecto ALCOM","Xavier Ribesek ALCOM proiekturako egindako garapena"
ui.footer2,"Percepción y generación de conocimiento sobre los algoritmos de personalización en las plataformas digitales de comunicación (PID2023-148682OA-I00)","Perception and generation of knowledge about personalization algorithms in digital communication platforms (PID2023-148682OA-I00)","Percepció i generació de coneixement sobre els algorismes de personalització en les plataformes digitals de comunicació (PID2023-148682OA-I00)","Perceção e geração de conhecimento sobre os algoritmos de personalização nas plataformas digitais de comunicação (PID2023-148682OA-I00)","Wahrnehmung und Wissensgenerierung über Personalisierungsalgorithmen auf digitalen Kommunikationsplattformen (PID2023-148682OA-I00)","Percepción e xeración de coñecemento sobre os algoritmos de personalización nas plataformas dixitais de comunicación (PID2023-148682OA-I00)","Komunikazio-plataforma digitaletako pertsonalizazio-algoritmoei buruzko ezagutzaren hautematea eta sorrera (PID2023-148682OA-I00)"
ui.breakdownTitle,"Desglose de tu expedición","Breakdown of your expedition","Desglossament de la teva expedició","Detalhe da sua expedição","Aufschlüsselung deiner Expedition","Desglose da túa expedición","Zure espedizioaren banaketa"
ui.breakdownAuto,"Decisiones autónomas (alta agencia):","Autonomous decisions (high agency):","Decisions autònomes (alta agència):","Decisões autónomas (alta agência):","Autonome Entscheidungen (hohe Handlungsmacht):","Decisións autónomas (alta axencia):","Erabaki autonomoak (agentzia handia):"
ui.breakdownBal,"Decisiones guiadas/mixtas:","Guided/mixed decisions:","Decisions guiades/mixtes:","Decisões guiadas/mistas:","Geleitete/gemischte Entscheidungen:","Decisións guiadas/mixtas:","Gidatutako/mistoak diren erabakiak:"
ui.breakdownDeleg,"Decisiones delegadas (baja agencia):","Delegated decisions (low agency):","Decisions delegades (baixa agència):","Decisões delegadas (baixa agência):","Delegierte Entscheidungen (geringe Handlungsmacht):","Decisións delegadas (baixa axencia):","Eskuordetutako erabakiak (agentzia txikia):"
ui.exportFooter,"Descubre tu perfil algorítmico en https://xaviuab.github.io/alcom/","Discover your algorithmic profile at https://xaviuab.github.io/alcom/","Descobreix el teu perfil algorítmic a https://xaviuab.github.io/alcom/","Descubra o seu perfil algorítmico em https://xaviuab.github.io/alcom/","Entdecke dein algorithmisches Profil auf https://xaviuab.github.io/alcom/","Descobre o teu perfil algorítmico en https://xaviuab.github.io/alcom/","Ezagutu zure profil algoritmikoa hemen: https://xaviuab.github.io/alcom/"
ui.strengthTitle,"Puntos fuertes de tu navegación:","Strengths of your navigation:","Punts forts de la teva navegació:","Pontos fortes da sua navegação:","Stärken deiner Navigation:","Puntos fortes da túa navegación:","Zure nabigazioaren gune indartsuak:"
ui.weaknessTitle,"Un espacio para ganar más autonomía:","An area to gain more autonomy:","Un espai per guanyar més autonomia:","Um espaço para ganhar mais autonomia:","Ein Raum, um mehr Autonomie zu gewinnen:","Un espazo para gañar máis autonomía:","Autonomia handiagoa lortzeko espazioa:"
ui.topics.0.name,"Gestión del inicio y feed","Feed and startup management","Gestió de l'inici i feed","Gestão do início e feed","Feed- und Startmanagement","Xestión do inicio e feed","Hasierako orriaren eta feed-aren kudeaketa"
ui.topics.0.pos,"Tomas el timón en cuanto embarcas, fijando tus propias coordenadas en lugar de dejar que la corriente te arrastre.","You take the helm as soon as you board, setting your own coordinates instead of letting the current drag you.","Agafes el timó tan bon punt embarques, fixant les teves pròpies coordenades en lloc de deixar-te arrossegar pel corrent.","Assume o leme logo ao embarcar, definindo as suas próprias coordenadas em vez de se deixar arrastar pela corrente.","Du übernimmst das Steuer, sobald du an Bord gehst, und setzt deine eigenen Koordinaten, anstatt dich von der Strömung mitreißen zu lassen.","Tomas o temón en canto embarcas, fixando as túas propias coordenadas no canto de deixar que a corrente te arrastre.","Ontziratu bezain laster lema hartzen duzu, zure koordenatuak ezarriz korronteak eraman zaitzan utzi beharrean."
ui.topics.0.neg,"Tiendes a quedarte en la sala de espera, dejando que la agencia decida tus primeras paradas sin cuestionar el itinerario.","You tend to stay in the waiting room, letting the agency decide your first stops without questioning the itinerary.","Tendeixes a quedar-te a la sala d'espera, deixant que l'agència decideixi les teves primeres parades sense qüestionar l'itinerari.","Tende a ficar na sala de espera, deixando a agência decidir as suas primeiras paragens sem questionar o itinerário.","Du neigst dazu, im Warteraum zu bleiben und die Agentur deine ersten Stopps entscheiden zu lassen, ohne die Reiseroute zu hinterfragen.","Tendes a quedar na sala de espera, deixando que a axencia decida as túas primeiras paradas sen cuestionar o itinerario.","Itxarongelan geratzeko joera duzu, agentziari zure lehenengo geldialdiak erabakitzen utziz ibilbidea zalantzan jarri gabe."
ui.topics.1.name,"Criterio de selección","Selection criteria","Criteri de selecció","Critério de seleção","Auswahlkriterien","Criterio de selección","Hautaketa-irizpidea"
ui.topics.1.pos,"Inspeccionas el mapa y contrastas información antes de dedicar tu valioso tiempo a una excursión.","You inspect the map and cross-check information before dedicating your valuable time to an excursion.","Inspecciones el mapa i contrastes informació abans de dedicar el teu valuós temps a una excursió.","Inspeciona o mapa e cruza informações antes de dedicar o seu valioso tempo a uma excursão.","Du inspizierst die Karte und vergleichst Informationen, bevor du deine wertvolle Zeit einem Ausflug widmest.","Inspeccionas o mapa e contrastas información antes de dedicar o teu valioso tempo a unha excursión.","Mapa aztertzen duzu eta informazioa alderatzen duzu txango bati zure denbora baliotsua eskaini aurretik."
ui.topics.1.neg,"Confías ciegamente en el guía automático para decidir qué paisajes merecen tu atención.","You trust the automatic guide blindly to decide which landscapes deserve your attention.","Confies cegament en el guia automàtic per decidir quins paisatges mereixen la teva atenció.","Confia cegamente no guia automático para decidir quais as paisagens que merecem a sua atenção.","Du vertraust blind dem automatischen Reiseführer, um zu entscheiden, welche Landschaften deine Aufmerksamkeit verdienen.","Confías cegamente no guía automático para decidir que paisaxes merecen a túa atención.","Gida automatikoan itsu-itsuan fidatzen zara zein paisaiak merezi duten zure arreta erabakitzeko."
ui.topics.2.name,"Respuesta ante sesgos","Response to biases","Resposta davant dels biaixos","Resposta perante enviesamentos","Reaktion auf Verzerrungen","Resposta ante os rumbos","Alborapenei emandako erantzuna"
ui.topics.2.pos,"Detectas rápidamente las trampas para turistas y buscas senderos alternativos lejos de los intereses comerciales.","You quickly spot tourist traps and seek alternative trails away from commercial interests.","Detectes ràpidament les trampes per a turistes i busques senders alternatius lluny dels interessos comercials.","Deteta rapidamente as armadilhas para turistas e procura trilhos alternativos longe dos interesses comerciais.","Du erkennst Touristenfallen schnell und suchst nach alternativen Wegen abseits kommerzieller Interessen.","Detectas rapidamente as trampas para turistas e buscas sendeiros alternativos lonxe dos intereses comerciais.","Turistentzako tranpak azkar antzematen dituzu eta interes komertzialetatik urrun dauden bide alternatiboak bilatzen dituzu."
ui.topics.2.neg,"Sueles seguir pasivamente las rutas comerciales, incluso cuando el paisaje no encaja con tus gustos.","You tend to passively follow commercial routes, even when the scenery doesn't fit your tastes.","Acostumes a seguir passivament les rutes comercials, fins i tot quan el paisatge no encaixa amb els teus gustos.","Costuma seguir passivamente as rotas comerciais, mesmo quando a paisagem não se ajusta aos seus gostos.","Du folgst kommerziellen Routen oft passiv, selbst wenn die Landschaft nicht deinem Geschmack entspricht.","Adoitas seguir pasivamente as rutas comerciais, mesmo cando a paisaxe non encaixa cos teus gustos.","Ibilbide komertzialak pasiboki jarraitu ohi dituzu, paisaia zure gustuekin bat ez datorrenean ere."
ui.topics.3.name,"Sensación de control","Sense of control","Sensació de control","Sensação de controlo","Gefühl der Kontrolle","Sensación de control","Kontrol-sentsazioa"
ui.topics.3.pos,"Sientes el control total de la nave, navegando con soberanía sobre tu dieta digital.","You feel in total control of the ship, navigating with sovereignty over your digital diet.","Sents el control total de la nau, navegant amb sobirania sobre la teva dieta digital.","Sente o controlo total do navio, navegando com soberania sobre a sua dieta digital.","Du hast das Gefühl, das Schiff voll unter Kontrolle zu haben und navigierst souverän durch deine digitale Ernährung.","Sentes o control total da nave, navegando con soberanía sobre a túa dieta dixital.","Ontziaren erabateko kontrola sentitzen duzu, zure dieta digitalaren gaineko subiranotasunez nabigatuz."
ui.topics.3.neg,"Te sientes como un pasajero a la deriva, dejando que las corrientes de la plataforma decidan el rumbo.","You feel like a passenger adrift, letting the platform's currents decide the course.","Et sents com un passatger a la deriva, deixant que els corrents de la plataforma decideixin el rumb.","Sente-se como uma pessoa passageira à deriva, deixando que as correntes da plataforma decidam o rumo.","Du fühlst dich wie ein treibender Passagier und lässt die Strömungen der Plattform den Kurs bestimmen.","Séteste como unha persoa pasaxeira á deriva, deixando que as correntes da plataforma decidan o rumbo.","Jitoan dagoen bidaiari bat bezala sentitzen zara, plataformaren korronteei norabidea erabakitzen utziz."
ui.topics.4.name,"Descubrimiento activo","Active discovery","Descobriment actiu","Descoberta ativa","Aktive Entdeckung","Descubrimento activo","Aurkikuntza aktiboa"
ui.topics.4.pos,"Te adentras en tierras inexploradas con tu propia brújula para encontrar nuevas voces y tesoros ocultos.","You venture into unexplored lands with your own compass to find new voices and hidden gems.","T'endinses en terres inexplorades amb la teva pròpia brúixola per trobar noves veus i tresors ocults.","Aventura-se em terras inexploradas com a sua própria bússola para encontrar novas vozes e tesouros ocultos.","Du wagst dich mit deinem eigenen Kompass in unerforschte Gebiete, um neue Stimmen und verborgene Schätze zu finden.","Penetras en terras inexploradas co teu propio compás para atopar novas voces e tesouros ocultos.","Esploratu gabeko lurretan sartzen zara zure orratzarekin ahots berriak eta ezkutuko altxorrak aurkitzeko."
ui.topics.4.neg,"Dejas que el folleto turístico de sugerencias y recomendaciones dicte todos tus nuevos descubrimientos.","You let the tourist brochure of suggestions and recommendations dictate all your new discoveries.","Deixes que el fulletó turístic de suggeriments i recomanacions dicti totes les teves noves descobertes.","Deixa que o folheto turístico de sugestões e recomendações dite todas as suas novas descobertas.","Du lässt die Touristenbroschüre mit Vorschlägen und Empfehlungen alle deine neuen Entdeckungen diktieren.","Deixas que o folleto turístico de suxestións e recomendacións dite todos os teus novos descubrimentos.","Iradokizunen eta gomendioen bidaia-liburuxkari zure aurkikuntza berri guztiak agintzen uzten diozu."
ui.topics.5.name,"Consumo de tendencias","Consumption of trends","Consum de tendències","Consumo de tendências","Konsum von Trends","Consumo de tendencias","Joeren kontsumoa"
ui.topics.5.pos,"Evitas los lugares turísticos masificados y las olas virales, trazando una ruta basada en tu propio criterio.","You avoid crowded tourist spots and viral waves, charting a route based on your own criteria.","Evites els llocs turístics massificats i les onades virals, traçant una ruta basada en el teu propi criteri.","Evita os locais turísticos massificados e as ondas virais, traçando uma rota baseada no seu próprio critério.","Du meidest überlaufene Touristenorte und virale Wellen und planst eine Route basierend auf deinen eigenen Kriterien.","Evitas os lugares turísticos masificados e as ondas virais, trazando unha ruta baseada no teu propio criterio.","Jendez betetako leku turistikoak eta uhin biralak saihesten dituzu, zure irizpidean oinarritutako ibilbidea zehaztuz."
ui.topics.5.neg,"Utilizas los destinos más concurridos y virales como tu guía principal de exploración.","You use the most crowded and viral destinations as your main exploration guide.","Utilitzes les destinacions més concorregudes i virals com a guia principal d'exploració.","Utiliza os destinos mais concorridos e virais como o seu guia principal de exploração.","Du nutzt die am stärksten frequentierten und viralen Ziele als deinen Hauptleitfaden für die Erkundung.","Utilizas os destinos máis concorridos e virais como a túa guía principal de exploración.","Helmuga jendetsu eta biralenak erabiltzen dituzu esploraziorako gida nagusi gisa."
ui.topics.6.name,"Ruptura de la burbuja","Breaking the filter bubble","Ruptura de la bombolla de filtres","Ruptura da bolha","Durchbrechen der Blase","Ruptura da burbulla","Iragazki-burbuila apurtzea"
ui.topics.6.pos,"Cruzas fronteras constantemente para explorar territorios desconocidos que desafían tus vistas habituales.","You constantly cross borders to explore unfamiliar territories that challenge your usual views.","Creues fronteres constantment per explorar territoris desconeguts que desafien les teves vistes habituals.","Cruza fronteiras constantemente para explorar territórios desconhecidos que desafiam as suas vistas habituais.","Du überschreitest ständig Grenzen, um unbekannte Gebiete zu erkunden, die deine gewohnten Ansichten herausfordern.","Cruzas fronteiras constantemente para explorar territorios descoñecidos que desafían as túas vistas habituais.","Mugak etengabe zeharkatzen dituzu zure ohiko ikuspegiei erronka egiten dieten lurralde ezezagunak esploratzeko."
ui.topics.6.neg,"Prefieres quedarte en el resort conocido, explorando raramente más allá de la zona de confort que el sistema te construye.","You prefer to stay in the familiar resort, rarely exploring beyond the comfort zone the system builds for you.","Prefereixes quedar-te al resort conegut, explorant rarament més enllà de la zona de confort que el sistema et construeix.","Prefere ficar no resort conhecido, explorando raramente além da zona de conforto que o sistema lhe constrói.","Du bleibst lieber im bekannten Resort und erkundest selten über die Komfortzone hinaus, die das System für dich aufbaut.","Prefires quedar no resort coñecido, explorando raramente máis aló da zona de confort que o sistema che constrúe.","Ezaguna den erresortan geratzea nahiago duzu, sistemak eraikitzen dizun erosotasun-eremutik haratago gutxitan esploratuz."
ui.topics.7.name,"Motivación para interactuar","Motivation to interact","Motivació per interactuar","Motivação para interagir","Motivation zur Interaktion","Motivación para interactuar","Elkarreragiteko motibazioa"
ui.topics.7.pos,"Tus interacciones son postales con sentido para apoyar a quien crea, no para alimentar el radar de la agencia.","Your interactions are meaningful postcards to support creators, not to feed the agency's radar.","Les teves interaccions són postals amb sentit per donar suport a qui crea, no per alimentar el radar de l'agència.","As suas interações são postais com sentido para apoiar quem cria, não para alimentar o radar da agência.","Deine Interaktionen sind bedeutungsvolle Postkarten, um Schöpfer zu unterstützen, nicht um das Radar der Agentur zu füttern.","As túas interaccións son postais con sentido para apoiar a quen crea, non para alimentar o radar da axencia.","Zure elkarrekintzak sortzaileei laguntzeko zentzua duten postalak dira, ez agentziaren radarra elikatzeko."
ui.topics.7.neg,"Dejas un rastro de huellas por costumbre, entrenando al guía automático sin pensarlo demasiado.","You leave a trail of footprints out of habit, training the automatic guide without thinking too much.","Deixes un rastre de petjades per costum, entrenant el guia automàtic sense pensar-ho massa.","Deixa um rasto de pegadas por hábito, treinando o guia automático sem pensar muito.","Du hinterlässt aus Gewohnheit eine Spur von Fußabdrücken und trainierst den automatischen Führer, ohne viel nachzudenken.","Deixas un rastro de pegadas por costume, adestrando o guía automático sen pensalo demasiado.","Ohituraz oinatz-arrasto bat uzten duzu, gida automatikoa gehiegi pentsatu gabe entrenatuz."
ui.topics.8.name,"Desconexión y límites","Disconnection and time limits","Desconnexió i límits de temps","Desconexão e limites","Abschalten und Zeitlimits","Desconexión e límites","Deskonektatzea eta denbora-mugak"
ui.topics.8.pos,"Sabes exactamente cuándo echar el ancla y desembarcar para disfrutar de la vida más allá de las pantallas.","You know exactly when to drop anchor and disembark to enjoy life beyond the screens.","Sabs exactament quan tirar l'àncora i desembarcar per gaudir de la vida més enllà de les pantalles.","Sabe exatamente quando lançar a âncora e desembarcar para desfrutar da vida para além dos ecrãs.","Du weißt genau, wann du den Anker auswerfen und von Bord gehen musst, um das Leben jenseits der Bildschirme zu genießen.","Sabes exactamente cando botar a áncora e desembarcar para gozar da vida máis aló das pantallas.","Ezin hobeto dakizu noiz bota aingura eta noiz lehorreratu pantailetatik haratagoko bizitzaz gozatzeko."
ui.topics.8.neg,"Te atrapa la corriente infinita y te cuesta apagar el piloto automático para echar el ancla.","You get caught in the infinite current, finding it hard to turn off the autopilot to drop anchor.","T'atrapa el corrent infinit i et costa apagar el pilot automàtic per tirar l'àncora.","É apanhado pela corrente infinita e custa-lhe desligar o piloto automático para lançar a âncora.","Die unendliche Strömung fängt dich ein, und es fällt dir schwer, den Autopiloten auszuschalten, um den Anker zu werfen.","Atrápate a corrente infinita e cústache apagar o piloto automático para botar a áncora.","Korronte infinituak harrapatzen zaitu eta kostatzen zaizu pilotu automatikoa itzaltzea aingura botatzeko."
ui.topics.9.name,"Expectativas de autonomía","Autonomy expectations","Expectatives d'autonomia","Expectativas de autonomia","Autonomieerwartungen","Expectativas de autonomía","Autonomia-itxaropenak"
ui.topics.9.pos,"Ves la plataforma como un simple navío a tu servicio, manteniendo total soberanía sobre el destino final.","You see the platform as a simple vessel at your service, maintaining total sovereignty over the final destination.","Veus la plataforma com un simple navili al teu servei, mantenint total sobirania sobre la destinació final.","Vê a plataforma como um simples navio ao seu serviço, mantendo total soberania sobre o destino final.","Du betrachtest die Plattform als einfaches Schiff in deinen Diensten und behältst die volle Souveränität über das Endziel.","Ves a plataforma como un simple navío ao teu servizo, mantendo total soberanía sobre o destino final.","Plataforma zure zerbitzura dagoen itsasontzi soil bat bezala ikusten duzu, azken helmugaren gaineko subiranotasun osoa mantenduz."
ui.topics.9.neg,"Embarcas buscando entretenimiento constante, prefiriendo que el piloto automático tome todas las decisiones de navegación.","You board looking for constant entertainment, preferring that the autopilot makes all the navigation choices.","Embarques buscant entreteniment constant, preferint que el pilot automàtic prengui totes les decisions de navegació.","Embarca à procura de entretenimento constante, preferindo que o piloto automático tome todas as decisões de navegação.","Du gehst an Bord auf der Suche nach ständiger Unterhaltung und ziehst es vor, dass der Autopilot alle Navigationsentscheidungen trifft.","Embarcas buscando entretemento constante, preferindo que o piloto automático tome todas as decisións de navegación.","Etengabeko entretenimendua bilatuz ontziratzen zara, pilotu automatikoak nabigazio-erabaki guztiak har ditzan nahiago izanez."
results.profPass,"Persona Pasajera","Passenger Person","Persona Passatgera","Pessoa Passageira","Mitreisende Person","Persoa Pasaxeira","Pertsona Bidaiaria"
results.profNav,"Persona Navegante","Navigator Person","Persona Navegant","Pessoa Navegante","Navigierende Person","Persoa Navegante","Pertsona Nabigatzailea"
results.profSob,"Persona<br>Soberana","Sovereign<br>Person","Persona<br>Sobirana","Pessoa<br>Soberana","Souveräne<br>Person","Persoa<br>Soberana","Pertsona<br>Subiranoa"
